NPS,Comentario,Insight,Categoria
3,"El servicio de atención al cliente es pésimo. Llevo esperando 45 minutos al teléfono y nadie me atiende. Además, la aplicación móvil se cuelga constantemente cuando intento hacer transferencias. He tenido que ir tres veces a la oficina este mes para solucionar problemas que deberían resolverse online. Muy decepcionado con el servicio.","Problemas de servicio al cliente y canales digitales",Personal
8,"Me gusta mucho la facilidad de uso de la app móvil, es muy intuitiva. Los pagos con el móvil funcionan perfecto y me ahorra mucho tiempo. El único punto negativo es que a veces las comisiones no están claras hasta el final de la operación. En general, estoy satisfecho con los servicios digitales.","Satisfacción con canales digitales, transparencia en comisiones",Canales
2,"Las comisiones de este banco son abusivas. Me cobran por todo: por sacar dinero, por transferencias, por mantener la cuenta. Encima, cambian las condiciones sin avisar claramente. He decidido cambiarme de banco porque ya no puedo más con tantos cobros sorpresa.","Descontento con política de comisiones y transparencia",Pricing
9,"Excelente atención personalizada en mi oficina. El gestor siempre está disponible y me ayuda con cualquier duda. Los productos de inversión que me recomendó han funcionado muy bien. La banca online también es muy completa. Muy contento con el servicio integral.","Satisfacción con atención personalizada y productos de inversión",Productos
5,"El banco está bien, pero nada especial. Los cajeros funcionan correctamente y la web es fácil de usar. Sin embargo, los horarios de atención telefónica son muy limitados y a veces cuesta conseguir cita en la oficina. Podría mejorar en disponibilidad de servicio.","Servicios básicos funcionales, limitaciones en disponibilidad",Personal
1,"Horrible experiencia con el crédito hipotecario. Me prometieron una cosa y al final las condiciones fueron completamente diferentes. El proceso duró meses más de lo prometido y nadie me daba información clara. Perdí una casa por su ineficiencia. Nunca más vuelvo a confiar en este banco.","Problemas graves con productos crediticios y proceso hipotecario",Productos
7,"La tarjeta de crédito funciona bien y tiene buenos descuentos en comercios. La app es rápida para consultar movimientos y hacer pagos. Lo que no me gusta es que el límite de crédito es muy bajo comparado con otros bancos. En general, una experiencia positiva pero mejorable.","Satisfacción con tarjeta de crédito, limitación en límites",Productos
4,"Los cajeros automáticos siempre están fuera de servicio cuando los necesito. La oficina más cercana está muy lejos y los horarios son inconvenientes. Además, las transferencias internacionales son muy caras. Estoy buscando alternativas más convenientes.","Problemas de accesibilidad y costes de servicios internacionales",Canales
6,"El servicio es correcto en general. La banca online es funcional aunque un poco lenta. Los empleados de la oficina son amables pero a veces no están muy informados sobre los productos. Las comisiones son razonables. Ni muy bueno ni muy malo, simplemente correcto.","Experiencia neutra, servicio básico funcional",Personal
10,"Fantástico banco. La atención al cliente es excepcional, tanto presencial como telefónica. La app móvil es la mejor que he usado, muy rápida y segura. Los productos son competitivos y transparentes. Mi gestor personal siempre me propone soluciones que realmente me convienen. No cambiaría por nada.","Excelencia en todos los aspectos del servicio bancario",Personal
2,"Llevo tres semanas intentando abrir una cuenta de ahorro online y el proceso no funciona. La web me da error en el último paso y el formulario se resetea. He intentado desde el móvil y desde el ordenador y pasa lo mismo. Es imposible contratar nada por internet.","Canal digital inoperativo para contratación de productos",Canales
9,"Mi gestor de banca privada es excepcional. Siempre me llama proactivamente cuando hay algo que puede interesarme. Explica todo con mucha claridad y paciencia. Nunca me he sentido presionado para contratar nada. Es un trato verdaderamente personalizado y de confianza.","Excelente gestión personalizada por parte del asesor",Personal
3,"Las comisiones de custodia de valores son las más altas del mercado. Me cobran por cada operación en bolsa sin importar el importe. Por mantener fondos de inversión también hay comisión anual. Comparado con los neobancos, salgo perdiendo claramente.","Estructura de comisiones de inversión no competitiva",Pricing
8,"La hipoteca que contraté tiene unas condiciones muy buenas: tipo fijo bajo y sin comisión de apertura. El plazo de amortización es flexible y puedo hacer amortizaciones anticipadas sin penalización. Estoy muy satisfecho con las condiciones del préstamo.","Satisfacción con condiciones de producto hipotecario",Productos
1,"El agente telefónico que me atendió fue maleducado y me cortó varias veces cuando intentaba explicar mi problema. Tuve que llamar cuatro veces porque nadie solucionaba mi incidencia. Cada vez me decían algo diferente. Una falta de profesionalidad total.","Mala calidad en atención telefónica y falta de coherencia",Personal
7,"La app del banco va muy fluida y el diseño es moderno. Las notificaciones en tiempo real de los pagos son muy útiles. El proceso de bizum es rapidísimo. Me gustaría que añadieran también la opción de dividir gastos entre varios contactos.","Buena experiencia con app móvil, funcionalidad de bizum destacada",Canales
4,"El tipo de interés del crédito al consumo que me ofrecieron es altísimo, casi un 18% TAE. No existe ninguna bonificación aunque seas cliente de hace años. Para un préstamo de 5.000 euros el coste total es desorbitado. Claramente no son competitivos en financiación.","Tipo de interés en crédito al consumo muy elevado",Pricing
10,"El plan de pensiones que contrate con el banco supera mis expectativas. La rentabilidad ha sido consistentemente buena los últimos años. Las opciones de inversión son variadas y me permiten ajustar el riesgo según mi situación. Muy recomendable para la jubilación.","Alta satisfacción con rentabilidad y opciones del plan de pensiones",Productos
5,"El cajero de mi oficina habitual lleva dos semanas estropeado y nadie lo repara. La siguiente sucursal está a veinte minutos. La app no me deja sacar dinero sin tarjeta como anunciaron. Para sacar efectivo tengo que hacer un viaje innecesario.","Problemas de disponibilidad en canales físicos y digitales para efectivo",Canales
